"site_ID","main_isld","region","DOC_region","area","DOC_code","DOC_name","DOC_size","DOC_pc","S1_area_pc","S2_area_pc","S3_area_pc","S1_limits","S2_limits","S3_limits","S1_uncrt","S2_uncrt","S3_uncrt","MESS_class","dissim_var","hum_im_pc","rd_sl_mi","rd_unsl_mi","fences","graze_pc","in_watr_mi","in_watr_me","in_watr_mx","pine_pc","curr_NZSL","histr_NZSL","X","Y","id"
"CNI-20","North Island","Bay of Plenty Region","Central North Island",1.81,NA,NA,NA,NA,71.97,52.25,90.45,"grass distance","inland water distance","inland water distance",0.8,0.44,0.47,"low","slope",0,0,3.29,"present",7.73,1,2.34,3.04,NA,NA,NA,1881569.50642942,5824321.07843813,20
"CNI-21","North Island","Bay of Plenty Region","Central North Island",0.43,NA,NA,NA,NA,84.92,42.61,96.63,"grass distance","grass distance","grass distance",0.71,0.47,0.48,"low","slope",100,0,4.8,"absent",NA,0.05,0.6,1.23,NA,NA,NA,1879247.56589169,5822104.00805916,21
"CNI-22","North Island","Bay of Plenty Region","Central North Island",4.92,"U14211; U14212","Tauranga Harbour Marginal Strip; Tauranga Harbour Marginal Strip",0.01,0.29,30.1,45.42,91.34,"sand distance","sand distance","grass distance",1.53,0.36,0.38,"low","land cover",29.32,0,0,"present",23.02,0,0.91,2.83,NA,NA,NA,1883656.3227544,5822008.50519435,22
"CNI-23","North Island","Bay of Plenty Region","Central North Island",3.86,"V14023","Maketu Wildlife Management Reserve",0.08,2.13,26.17,31.95,86.86,"sand distance","grass distance","grass distance",1.36,0.5,0.4,"low","land cover",1.77,0,1.09,"present",36.66,0,0.77,3.86,NA,NA,NA,1898135.32662133,5818122.81855799,23
"CNI-24","North Island","Bay of Plenty Region","Central North Island",3.1,"V14021; V14022; V15103","Pukehina Beach Marginal Strip; Rogers Beach Marginal Strip; Otamarakau Marginal Strip",0.09,2.82,75.86,21.78,52.35,"grass distance","grass distance","grass distance",0.87,0.52,0.8,"low","inland water distance",23.33,0,0,"present",11.45,0,2.82,8.19,NA,NA,NA,1915210.25338644,5808694.65294522,24
"CNI-25","North Island","Bay of Plenty Region","Central North Island",2.69,"V15031; V15136","Matata Wildlife Refuge Reserve; Matata Marginal Strip",1.04,38.74,28.22,52.68,90.59,"sand distance","sand distance","inland water distance",1.39,0.4,0.36,"low","slope",3.25,0,0,"present",16.21,0,0.67,3.21,NA,NA,NA,1932070.01680907,5799727.17456121,25
"CNI-26","North Island","Bay of Plenty Region","Central North Island",1.51,"W15005; W15092; W15085","Okorero - Thornton Lagoon Wildlife Management Reserve (part); Thornton Beach Marginal Strip; Piripai Wildlife Management Reserve",0.24,16,65.61,33.24,67.46,"grass distance","grass distance","grass distance",1.09,0.51,0.67,"low","slope",33.48,0,0.09,"absent",6.94,0,0.89,3.44,NA,NA,NA,1946260.2085241,5795267.6094379,26
"CNI-27","North Island","Bay of Plenty Region","Central North Island",0.44,NA,NA,NA,NA,100,0,8.78,"grass distance","grass distance","grass distance",0.67,0.72,1.33,"low","inland water distance",0,0,0.03,"absent",6.25,4.96,7.55,9.4,NA,NA,NA,1993332.15300995,5790005.77200664,27
"CNI-28","North Island","Bay of Plenty Region","Central North Island",1.4,"W15111","Ohope Spit Wildlife Refuge Reserve",0.07,5.11,92.23,0,69.44,"grass distance","grass distance","grass distance",0.75,0.59,0.75,"low","slope",29.04,0,0.42,"absent",5.64,0.03,1.22,3.65,NA,NA,NA,1958739.27536858,5789168.95380409,28
"CNI-29","North Island","Bay of Plenty Region","Central North Island",0.5,"W15056; 80645; 80646","Conservation Area - Old Town of Ohiwa; Waiotahe Spit Historic Reserve; Waiotahe Spit Scenic Reserve",0.12,24.63,88.68,21.51,61.64,"grass distance","grass distance","grass distance",0.78,0.54,0.61,"low","slope",0,0,2.04,"absent",4.6,0,0.31,1.08,NA,NA,NA,1966954.82706917,5787126.74531752,29
"CNI-30","North Island","Bay of Plenty Region","Central North Island",0.73,NA,NA,NA,NA,39.04,43.51,87.96,"sand distance","grass distance","grass distance",1.46,0.37,0.44,"low","land cover",0,0.03,0.03,"present",53.02,0.03,0.87,2.29,NA,NA,NA,1987158.71671381,5787111.27476802,30
"CNI-31","North Island","Bay of Plenty Region","Central North Island",0.79,"80299; 80594","Huntress Creek Conservation Area; Tirohanga Dunes Conservation Area",0.09,11.93,95.8,10.62,79.16,"grass distance","grass distance","grass distance",0.67,0.61,0.7,"low","slope",0,0,1.01,"present",9.35,0.03,1.63,3.82,NA,NA,NA,1978218.03800395,5786541.67330085,31
"CNI-32","North Island","Bay of Plenty Region","Central North Island",1.01,"80299; 171007; 80289","Huntress Creek Conservation Area; Huntress Creek Burial Area; Otara River Marginal Strip",0.24,23.69,39.21,36.54,83.93,"sand distance","grass distance","grass distance",1.4,0.37,0.49,"low","land cover",16.19,0,0.04,"absent",43.02,0,0.54,2.38,NA,NA,NA,1973948.30287947,5786318.14170014,32
"CNI-33","North Island","Taranaki Region","Central North Island",2.43,"70577; 70220; 70327","Waipipi Marginal Strip; Patea Harbour Conservation Area; Okotuku Conservation Area",0.36,14.93,92.87,13.88,52.41,"grass distance","grass distance","grass distance",0.71,0.49,0.77,"low","sand distance",0,0.09,0.08,"present",19.73,0,1.15,2.54,NA,NA,NA,1732768.25356427,5592728.52596753,33
"CNI-34","North Island","Taranaki Region","Central North Island",2.47,"70244","Tapuarau Lagoon Conservation Area",1.45,58.6,46.89,37.49,93.99,"sand distance","grass distance","grass distance",1.24,0.42,0.47,"low","land cover",0,0.26,0.06,"present",24.57,0,0.43,2.01,NA,NA,NA,1743317.78247902,5588520.9059235,34
"CNI-35","North Island","Taranaki Region","Central North Island",1.2,NA,NA,NA,NA,26.45,18.45,98.22,"sand distance","grass distance","grass distance",1.47,0.47,0.47,"low","land cover",100,0,0.08,"present",60.25,0,0.56,1.21,NA,NA,NA,1748301.46255872,5586399.87649526,35
"CNI-36","North Island","Taranaki Region","Central North Island",2.21,NA,NA,NA,NA,87.42,0,52.73,"grass distance","grass distance","grass distance",0.72,0.48,0.83,"low","sand distance",20.7,0.07,0.2,"present",17.27,0.03,1.46,3.48,NA,NA,NA,1746655.04299429,5586316.46109408,36
"CNI-37","North Island","Manawatu-Wanganui Region","Central North Island",2.64,"NA; 70587","Fixed Marginal Strip - Morgan Street, Wanganui; Castlecliff Marginal Strip",0.11,4.07,89.4,8.47,28.2,"grass distance","grass distance","grass distance",0.78,0.55,1,"low","inland water distance",4.58,0,0.39,"present",45.3,0.03,2.93,6.25,NA,NA,NA,1762994.54885026,5581815.77839734,37
"CNI-38","North Island","Manawatu-Wanganui Region","Central North Island",1.17,"70588","Kaitoke Marginal Strip",0.05,4.15,4.85,35.5,100,"sand distance","sand distance","inland water distance",1.94,0.35,0.32,"low","land cover",0,0.57,0.93,"present",70.59,0.97,1.63,2.41,1.84,NA,NA,1774352.15884912,5573629.11780438,38
"CNI-39","North Island","Manawatu-Wanganui Region","Central North Island",4.04,"70257; 70026; 70588","Whitiau Scenic Reserve; Whitiau Scientific Reserve; Kaitoke Marginal Strip",0.28,6.92,59.38,37.26,59.11,"grass distance","grass distance","grass distance",1.05,0.43,0.7,"low","sand distance",12.32,0.35,0,"present",13.65,0,1.43,5.23,NA,NA,NA,1777036.76606977,5569020.85136029,39
"CNI-40","North Island","Manawatu-Wanganui Region","Central North Island",1.07,NA,NA,NA,NA,86.15,0,78.41,"grass distance","grass distance","grass distance",0.74,0.42,0.67,"low","sand distance",0,1.31,0.1,"absent",34.22,0.03,0.64,1.53,NA,NA,NA,1780569.58672936,5564050.88766073,40
"HWT-1","North Island","Waikato Region","Hauraki-Waikato-Taranaki",1.01,"T10006; T10095","Waikawau Bay Farm Park Recreation Reserve; Waikawau Bay Scenic Reserve",0.34,33.49,48.71,45.5,78.98,"sand distance","grass distance","grass distance",1.36,0.39,0.5,"low","slope",0,0.32,0,"present",9.41,0,0.44,1.86,NA,NA,NA,1825335.68560556,5946996.21505208,41
"HWT-2","North Island","Waikato Region","Hauraki-Waikato-Taranaki",0.9,NA,NA,NA,NA,44.48,70.51,87.02,"sand distance","grass distance","grass distance",1.29,0.38,0.37,"low","slope",0,0.11,0,"absent",9.87,0,0.27,1.22,NA,NA,NA,1828382.67968399,5938376.13165336,42
"HWT-3","North Island","Waikato Region","Hauraki-Waikato-Taranaki",0.41,"T10069; T10070; T10035","Marginal Strip - Kuaotunu River Kuaotunu Wharekaho Road; Marginal Strip - Kuaotunu River Hall Road; Conservation Area - Waitangirua Street, Kuaotunu",0.01,3.32,20,49.85,85.61,"sand distance","sand distance","grass distance",1.76,0.32,0.39,"low","land cover",0,0,0.08,"present",37.7,0,0.39,1.1,NA,NA,NA,1843425.37537806,5932302.70270516,43
"HWT-4","North Island","Waikato Region","Hauraki-Waikato-Taranaki",0.54,NA,NA,NA,NA,91.72,0,70.25,"grass distance","grass distance","grass distance",0.77,0.65,0.63,"low","slope",57.64,0.06,0.03,"absent",NA,0.03,0.42,1.01,NA,NA,NA,1836779.17637018,5932130.48603235,44
"HWT-5","North Island","Waikato Region","Hauraki-Waikato-Taranaki",1.68,"T10022; T11001; T10021","Conservation Area - Kauri Block; Coromandel State Forest Park; Conservation Area - Kauri Block",0.03,2.08,36.09,51.08,99.25,"sand distance","grass distance","grass distance",1.44,0.37,0.33,"low","land cover",89.63,0,0,"present",19.5,0.24,0.91,1.47,NA,NA,NA,1822692.0454562,5928279.57339936,45
"HWT-6","North Island","Waikato Region","Hauraki-Waikato-Taranaki",0.73,NA,NA,NA,NA,34.31,35.42,97.77,"sand distance","grass distance","grass distance",1.62,0.38,0.37,"low","land cover",0,0,0,"present",5.9,0.03,0.85,1.57,NA,NA,NA,1844170.83333608,5919892.14376844,46
"HWT-7","North Island","Waikato Region","Hauraki-Waikato-Taranaki",0.49,NA,NA,NA,NA,26.52,51.52,86.29,"sand distance","grass distance","grass distance",1.58,0.33,0.37,"low","land cover",0,0,0.17,"present",17.89,0,0.36,0.85,NA,NA,NA,1854253.01396284,5902131.97969874,47
"HWT-8","North Island","Waikato Region","Hauraki-Waikato-Taranaki",1.04,"T12060; T12059; T12062; T12151","Marginal Strip - Wharekawa Spit; Opoutere Beach Recreation Reserve; Burial Ground - Wharekawa; Marginal Strip - Wharekawa Harbour",0.43,41.13,45.72,0,85.46,"sand distance","grass distance","grass distance",1.46,0.54,0.48,"low","slope",83.78,0.09,0,"absent",4.57,0.03,0.98,2.86,NA,NA,NA,1856462.70883418,5891059.7852064,48
"HWT-9","North Island","Waikato Region","Hauraki-Waikato-Taranaki",0.39,NA,NA,NA,NA,100,0,7.34,"grass distance","grass distance","grass distance",0.71,0.72,1.18,"low","inland water distance",14.83,0.03,0.4,"absent",NA,1.56,3.23,5.01,NA,NA,NA,1824512.57974658,5888352.8508788,49
"HWT-10","North Island","Waikato Region","Hauraki-Waikato-Taranaki",0.74,NA,NA,NA,NA,25.72,44.01,94.18,"sand distance","grass distance","grass distance",1.44,0.41,0.38,"low","land cover",100,0.63,0.1,"absent",5.45,0,0.48,0.9,NA,NA,NA,1825811.48456721,5884452.16287738,50
"HWT-11","North Island","Waikato Region","Hauraki-Waikato-Taranaki",2.46,"T12092; T12093","Conservation Area - Orongo; Marginal Strip - Orongo Coast",0.12,4.84,17.45,14.37,99.59,"sand distance","sand distance","grass distance",1.29,0.53,0.36,"low","land cover",31.18,0.49,0.94,"absent",5.3,0.1,1.11,2.03,NA,NA,NA,1823364.76079185,5882583.2638746,51
"HWT-12","North Island","Waikato Region","Hauraki-Waikato-Taranaki",0.57,NA,NA,NA,NA,100,0,7.24,"grass distance","grass distance","grass distance",0.72,0.77,1.19,"low","forest distance",0,1.78,1.78,"absent",NA,1.47,3.1,4.57,NA,NA,NA,1816120.64144881,5879231.46929954,52
"HWT-13","North Island","Waikato Region","Hauraki-Waikato-Taranaki",0.49,"T12070","Marginal Strip - Whangamata",0.03,6.23,97.06,0,75.8,"grass distance","grass distance","grass distance",0.71,0.61,0.67,"low","slope",100,0,0.59,"absent",8.94,0.03,0.69,1.45,NA,NA,NA,1855558.85083584,5877532.34635436,53
"HWT-14","North Island","Waikato Region","Hauraki-Waikato-Taranaki",1.19,"T12085; T12091","Te Ramarama Scenic Reserve; Waimama Recreation Reserve",0.02,1.64,17.17,30.38,99.42,"sand distance","sand distance","grass distance",1.78,0.34,0.3,"low","land cover",0,0,1.72,"absent",15.28,0.3,0.81,1.74,NA,NA,NA,1857252.36308955,5869541.19931914,54
"HWT-15","North Island","Waikato Region","Hauraki-Waikato-Taranaki",2.22,"R13001","Port Waikato Sand Dunes Recreation Reserve",0.4,17.97,66.1,13.78,83.8,"grass distance","grass distance","grass distance",1.12,0.46,0.54,"low","sand distance",55.26,0,0.78,"absent",23.02,0.03,0.52,1.95,NA,NA,NA,1751618.11963212,5860815.92944801,55
"HWT-16","North Island","Waikato Region","Hauraki-Waikato-Taranaki",0.68,NA,NA,NA,NA,89.55,24.29,41.06,"grass distance","grass distance","grass distance",0.71,0.57,0.81,"low","slope",0,1.59,0.1,"present",15.09,1.24,2.21,3.24,NA,NA,NA,1770891.69340097,5820832.73373087,56
"HWT-17","North Island","Waikato Region","Hauraki-Waikato-Taranaki",0.36,NA,NA,NA,NA,100,0,49.04,"grass distance","grass distance","grass distance",0.68,0.65,0.8,"none","slope",0,1.11,0.83,"absent",3.25,0.53,1.59,2.55,NA,NA,NA,1772124.63043522,5818803.50000036,57
"HWT-18","North Island","Waikato Region","Hauraki-Waikato-Taranaki",0.72,NA,NA,NA,NA,100,0,0.09,"grass distance","grass distance","grass distance",0.68,0.69,1.26,"none","inland water distance",0,8.59,0,"absent",3.89,2.15,3.08,3.89,NA,NA,NA,1764866.68074359,5816939.1680746,58
"HWT-19","North Island","Waikato Region","Hauraki-Waikato-Taranaki",0.77,NA,NA,NA,NA,100,0,21.25,"grass distance","grass distance","grass distance",0.68,0.69,1.15,"low","inland water distance",0,0.73,0.61,"absent",1.49,0.03,3.04,5.07,NA,NA,NA,1770233.22181712,5817220.18450963,59
"HWT-20","North Island","Waikato Region","Hauraki-Waikato-Taranaki",1.42,NA,NA,NA,NA,97.22,0,54.45,"grass distance","grass distance","grass distance",0.62,0.45,0.92,"none","sand distance",0,11.74,0.21,"absent",6.59,0.9,1.67,3.23,NA,NA,NA,1762341.16871736,5815513.65333944,60
"HWT-21","North Island","Waikato Region","Hauraki-Waikato-Taranaki",2.1,NA,NA,NA,NA,69.65,32.23,62.73,"grass distance","grass distance","grass distance",1.08,0.48,0.63,"low","slope",0,0.81,0,"present",16.29,0,1.14,2.94,NA,NA,NA,1772553.45902656,5815068.08937089,61
"HWT-22","North Island","Waikato Region","Hauraki-Waikato-Taranaki",1.01,NA,NA,NA,NA,100,0,0.93,"grass distance","grass distance","grass distance",0.69,0.72,1.35,"low","inland water distance",0,0,0.03,"present",2.15,2.14,3.79,4.84,NA,NA,NA,1767878.115385,5814156.93076955,62
"HWT-23","North Island","Waikato Region","Hauraki-Waikato-Taranaki",1.66,"R15002","Marginal Strip - Papanui Point",0,0.14,98.61,2.67,14.09,"grass distance","grass distance","grass distance",0.59,0.63,1.35,"low","inland water distance",0,2.19,0.07,"present",31.13,5.35,6.82,9.15,NA,NA,NA,1756119.40529902,5801320.88030836,63
"HWT-24","North Island","Waikato Region","Hauraki-Waikato-Taranaki",1.23,"R15013","Aotea Heads Scientific Reserve",0.92,74.32,90.72,5.27,43.2,"grass distance","grass distance","grass distance",0.72,0.69,1.27,"low","inland water distance",0,4.28,2.53,"absent",9.52,4.45,5.08,5.67,NA,NA,NA,1758930.66484092,5793915.56274923,64
"HWT-25","North Island","Waikato Region","Hauraki-Waikato-Taranaki",3.4,"R15013","Aotea Heads Scientific Reserve",1.66,48.72,99.69,1.82,14.85,"grass distance","grass distance","grass distance",0.63,0.63,1.51,"low","inland water distance",0,1.36,1.04,"absent",1.29,0.92,4.13,6.63,NA,NA,NA,1758875.62946375,5793870.54339888,65
"HWT-26","North Island","Waikato Region","Hauraki-Waikato-Taranaki",3.32,"R15012","Marginal Strip - Mangawhero Stream",0.02,0.54,79.96,16.49,63.38,"grass distance","inland water distance","inland water distance",0.86,0.55,0.78,"low","inland water distance",0.92,0,0,"present",4.51,1,3.6,6.56,2.82,NA,NA,1763062.5692524,5793682.12603903,66
"HWT-27","North Island","Waikato Region","Hauraki-Waikato-Taranaki",2.83,"R15038; R15068; R15020","Kawhia Harbour (Motu Tara) Scenic Reserve; Cemetery - Kawhia Road; Marginal Strip - Mangaora Inlet, Kawhia Harbour",0.03,1.14,72.63,26.81,61.88,"grass distance","grass distance","grass distance",1.05,0.51,0.65,"low","slope",41.95,0,0.1,"present",15.22,0.45,1.89,3.49,NA,NA,NA,1762346.31607961,5786904.99449366,67
"HWT-28","North Island","Waikato Region","Hauraki-Waikato-Taranaki",2.86,NA,NA,NA,NA,49.46,57.61,91.83,"sand distance","grass distance","grass distance",1.25,0.35,0.39,"low","land cover",0,0.94,0,"present",27.71,0,0.69,1.54,NA,NA,NA,1766238.79208701,5784364.2317181,68
"HWT-29","North Island","Waikato Region","Hauraki-Waikato-Taranaki",2.13,"R15019","Marginal Strip - Kahua Point",0.02,0.73,78.64,0,44.58,"grass distance","grass distance","grass distance",0.69,0.54,0.97,"low","inland water distance",43.05,1.4,0.2,"present",47.1,0.16,2.26,5.33,NA,NA,NA,1757144.75475869,5787614.52049803,69
"HWT-30","North Island","Waikato Region","Hauraki-Waikato-Taranaki",1.49,NA,NA,NA,NA,55.11,53.13,96.55,"sand distance","grass distance","grass distance",1.18,0.37,0.37,"low","slope",37.48,0.97,0.28,"present",28.18,0.18,0.68,1.41,NA,NA,NA,1765527.25599531,5782223.48022748,70
"HWT-31","North Island","Waikato Region","Hauraki-Waikato-Taranaki",0.76,NA,NA,NA,NA,100,0.25,14.46,"grass distance","grass distance","grass distance",0.64,0.69,1.29,"low","inland water distance",0,3.57,5.03,"absent",8.01,5.47,6.62,7.5,NA,NA,NA,1755082.52066141,5780589.69008285,71
"HWT-32","North Island","Waikato Region","Hauraki-Waikato-Taranaki",6.94,"R15042; R15041; R16079; R16081; R16001; R16002","Kawhia Harbour (Te Umuroa) Scenic Reserve; Kawhia Harbour (Rakaunui) Scenic Reserve; Kawhia Harbour (Te Arero) Scenic Reserve; Kawhia Harbour  (Waiharakeke) Scenic Reserve; Marginal Strip - Te Waitere Road; Marginal Strip - Te Arero Point",0.12,1.7,87.24,15.95,45.78,"grass distance","grass distance","grass distance",0.78,0.61,0.89,"low","inland water distance",16.83,0,0,"present",5.35,0,2.92,7.03,NA,NA,NA,1761223.14502195,5778642.05411281,72
"HWT-33","North Island","Waikato Region","Hauraki-Waikato-Taranaki",3.16,NA,NA,NA,NA,64.22,11.51,76.92,"grass distance","grass distance","grass distance",0.97,0.44,0.6,"low","sand distance",54.68,0.1,0,"absent",36.43,0,0.71,3.89,NA,NA,NA,1749882.46994197,5772404.34670315,73
"HWT-34","North Island","Waikato Region","Hauraki-Waikato-Taranaki",0.54,"R17043; R17041; R17042","Marginal Strip - Pitone Creek  Ketekarino Reserve; Marginal Strip - Kohuta coast; Marginal Strip - Pitone coast",0.01,1.96,100,0,3.23,"grass distance","grass distance","grass distance",0.59,0.38,0.9,"none","sand distance",0,0.23,0,"present",13.6,0.03,1.05,4.3,NA,NA,NA,1741149.10508099,5721600.51963061,74
"HWT-35","North Island","Waikato Region","Hauraki-Waikato-Taranaki",0.61,"70441","Mohakatino Swamp Conservation Area",0.17,27.49,25.15,65.05,91.03,"sand distance","grass distance","grass distance",1.76,0.26,0.35,"low","land cover",0,0.07,2.8,"present",9.96,0,0.59,1.41,NA,NA,NA,1740043.06701046,5712430.18041249,75
"HWT-36","North Island","Taranaki Region","Hauraki-Waikato-Taranaki",0.59,"70567","Mimi-Pukearuhe Coast Marginal Strip",0.12,20.74,83.58,16.95,53.68,"grass distance","grass distance","grass distance",0.9,0.51,0.7,"low","sand distance",0,0.11,1.08,"present",16.14,0.03,1.2,2.67,NA,NA,NA,1725882.89609062,5688177.64917701,76
"HWT-37","North Island","Taranaki Region","Hauraki-Waikato-Taranaki",0.52,"70666; 70692","Waitara West Marginal Strip; Waitara Scenic Reserve",0.03,5.3,55.9,58.67,80.24,"grass distance","grass distance","grass distance",1.19,0.38,0.54,"low","sand distance",0,0,0.39,"present",16.48,0,0.48,1.95,NA,NA,NA,1706265.51204823,5683790.57228919,77
"HWT-38","North Island","Taranaki Region","Hauraki-Waikato-Taranaki",0.42,NA,NA,NA,NA,7.68,42.92,85.84,"sand distance","sand distance","sand distance",1.97,0.27,0.3,"low","land cover",0,0,1.27,"absent",18.92,0,0.31,0.57,NA,NA,NA,1720468.59939766,5683279.93222896,78
"HWT-39","North Island","Taranaki Region","Hauraki-Waikato-Taranaki",2.04,"70666; 70415; 70530","Waitara West Marginal Strip; Crown Land Conservation Area; Waitaha Stream Recreation Reserve",0.1,4.84,63.49,22.43,78.34,"grass distance","grass distance","grass distance",1.12,0.45,0.57,"low","sand distance",46.3,0,0.04,"present",14.8,0,0.9,1.99,NA,NA,NA,1699616.39451091,5680910.71373814,79
"HWT-40","North Island","Taranaki Region","Hauraki-Waikato-Taranaki",1.27,"70560","Okato Coast Marginal Strip",0.03,2.05,58.37,40.45,77.9,"grass distance","grass distance","grass distance",1.09,0.39,0.51,"low","sand distance",0,0.07,0,"present",48.88,0,0.83,3.24,NA,NA,NA,1671200.07331379,5663617.32649073,80
